chan,cluster
Fp1,2
Fpz,2
Fp2,2
AF3,2
AF4,2
F11,0
F7,2
F5,2
F3,2
F1,2
Fz,2
F2,2
F4,2
F6,2
F8,2
F12,0
FT11,0
FC5,3
FC3,3
FC1,3
FCz,3
FC2,3
FC4,3
FC6,2
FT12,0
T7,1
C5,3
C3,3
C1,3
Cz,3
C2,3
C4,3
C6,3
T8,6
TP7,1
CP5,3
CP3,3
CP1,3
CPz,3
CP2,3
CP4,3
CP6,3
TP8,6
M1,1
M2,6
P7,4
P5,4
P3,4
P1,4
Pz,4
P2,4
P4,4
P6,4
P8,4
PO7,5
PO3,4
POz,4
PO4,4
PO8,4
O1,5
Oz,5
O2,5
Cb1,5
Cb2,5
AFp1,2
AFp2,2
AF7,2
AF5,2
AFz,2
AF6,2
AF8,2
AFF5h,2
AFF3h,2
AFF1h,2
AFF2h,2
AFF4h,2
AFF6h,2
F9,0
F10,0
FFT7h,2
FFC5h,2
FFC3h,2
FFC1h,2
FFC2h,2
FFC4h,2
FFC6h,2
FFT8h,2
FT9,0
FT7,1
FT8,6
FT10,0
FTT7h,3
FCC5h,3
FCC3h,3
FCC1h,3
FCC2h,3
FCC4h,3
FCC6h,3
FTT8h,3
TTP7h,3
CCP5h,3
CCP3h,3
CCP1h,3
CCP2h,3
CCP4h,3
CCP6h,3
TTP8h,3
TPP7h,4
CPP5h,4
CPP3h,4
CPP1h,3
CPP2h,3
CPP4h,4
CPP6h,4
TPP8h,4
P9,1
P10,6
PPO3h,4
PPO1h,4
PPO2h,4
PPO4h,4
PO9,5
PO5,4
PO1,4
PO2,4
PO6,4
PO10,5
Cbz,5
AFp7,2
AFpz,2
AFp8,2
AFF7,2
AFF8,2
F7h,2
F3h,2
F4h,2
F8h,2
FFC5,2
FFC3,2
FFCz,2
FFC4,2
FFC6,2
FT9h,1
FT7h,2
FC5h,3
FC1h,2
FC2h,2
FC6h,3
FT8h,2
FT10h,6
FTT9h,1
FCC5,3
FCC1,3
FCC2,3
FCC6,3
FTT10h,6
T7h,3
C3h,3
C4h,3
T8h,3
TTP7,1
CCP3,3
CCP4,3
TTP8,6
CP5h,3
CP1h,3
CP2h,3
CP6h,3
TPP7,4
CPP3,4
CPPz,3
CPP4,4
TPP8,4
P7h,4
P3h,4
P4h,4
P8h,4
PPO9h,5
PPO7h,4
PPO5h,4
PPO6h,4
PPO8h,4
PPO10h,5
PO9h,5
PO10h,5
POO9h,5
POO5h,5
POOz,4
POO6h,5
POO10h,5
OCb1H,5
OCb2h,5
Fp1h,2
Fp2h,2
AFp3,2
AFp4,2
AF1,2
AF2,2
AFF7h,2
AFF8h,2
F9h,1
F5h,2
F1h,2
F2h,2
F6h,2
F10h,6
FFT11h,0
FFT9h,1
FFT7,1
FFC1,2
FFC2,2
FFT8,6
FFT10h,6
FFT12h,0
FC3h,3
FC4h,3
FTT11h,0
FTT7,1
FCC3,3
FCCz,3
FCC4,3
FTT8,6
FTT12h,0
C5h,3
C1h,3
C2h,3
C6h,3
CCP5,3
CCP1,3
CCP2,3
CCP6,3
TP7h,4
CP3h,3
CP4h,3
TP8h,3
TPP9h,1
CPP5,4
CPP1,3
CPP2,3
CPP6,4
TPP10h,6
P9h,4
P5h,4
P1h,4
P2h,4
P6h,4
P10h,4
PPOz,4
POO7,5
POO1,4
POO2,4
POO8,5
O1h,5
O2h,5
OCb1,5
OCb2,5
REF,3
